data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
1999-01-02 00:00:00,1,10.0,12.0,54.0,58.0,72.0,88.0,23,0
1999-01-07 00:00:00,2,34.0,43.0,44.0,45.0,53.0,58.0,64,0
1999-01-09 00:00:00,3,1.0,6.0,13.0,23.0,53.0,77.0,20,0
1999-01-13 00:00:00,4,18.0,23.0,45.0,51.0,61.0,86.0,29,0
1999-01-16 00:00:00,5,7.0,9.0,12.0,37.0,86.0,90.0,87,0
1999-01-20 00:00:00,6,1.0,43.0,45.0,48.0,51.0,56.0,18,0
1999-01-23 00:00:00,7,36.0,45.0,46.0,47.0,74.0,75.0,69,0
1999-01-27 00:00:00,8,8.0,48.0,65.0,72.0,83.0,88.0,67,0
1999-01-30 00:00:00,9,14.0,20.0,40.0,58.0,68.0,84.0,88,0
1999-02-03 00:00:00,10,45.0,67.0,70.0,80.0,81.0,89.0,3,0
1999-02-06 00:00:00,11,9.0,10.0,26.0,30.0,44.0,54.0,62,0
1999-02-10 00:00:00,12,4.0,8.0,12.0,17.0,19.0,80.0,84,0
1999-02-13 00:00:00,13,12.0,20.0,23.0,34.0,67.0,87.0,46,0
1999-02-17 00:00:00,14,24.0,45.0,49.0,63.0,78.0,83.0,4,0
1999-02-20 00:00:00,15,4.0,26.0,59.0,63.0,69.0,74.0,86,0
1999-02-24 00:00:00,16,17.0,19.0,32.0,41.0,52.0,87.0,23,0
1999-02-27 00:00:00,17,6.0,7.0,42.0,55.0,75.0,88.0,67,0
1999-03-03 00:00:00,18,40.0,41.0,51.0,62.0,66.0,80.0,77,0
1999-03-06 00:00:00,19,27.0,41.0,44.0,50.0,68.0,73.0,21,0
1999-03-10 00:00:00,20,11.0,20.0,56.0,69.0,72.0,76.0,32,0
1999-03-13 00:00:00,21,6.0,18.0,20.0,34.0,72.0,90.0,17,0
1999-03-17 00:00:00,22,3.0,7.0,14.0,45.0,68.0,70.0,39,0
1999-03-20 00:00:00,23,43.0,71.0,80.0,84.0,88.0,89.0,73,0
1999-03-24 00:00:00,24,4.0,26.0,34.0,61.0,76.0,81.0,67,0
1999-03-27 00:00:00,25,7.0,18.0,27.0,80.0,81.0,83.0,87,0
1999-03-31 00:00:00,26,25.0,60.0,64.0,71.0,75.0,85.0,18,0
1999-04-03 00:00:00,27,33.0,41.0,47.0,48.0,60.0,80.0,17,0
1999-04-07 00:00:00,28,13.0,27.0,40.0,46.0,70.0,84.0,28,0
1999-04-10 00:00:00,29,4.0,11.0,14.0,17.0,25.0,32.0,61,0
1999-04-14 00:00:00,30,34.0,63.0,70.0,77.0,83.0,90.0,43,0
1999-04-17 00:00:00,31,4.0,6.0,25.0,32.0,73.0,83.0,64,0
1999-04-21 00:00:00,32,20.0,53.0,55.0,61.0,64.0,74.0,46,0
1999-04-24 00:00:00,33,20.0,22.0,33.0,44.0,50.0,74.0,60,0
1999-04-28 00:00:00,34,1.0,51.0,53.0,55.0,73.0,86.0,41,0
1999-05-03 00:00:00,35,8.0,49.0,50.0,65.0,66.0,69.0,75,0
1999-05-05 00:00:00,36,3.0,10.0,28.0,71.0,81.0,88.0,84,0
1999-05-08 00:00:00,37,11.0,14.0,15.0,30.0,68.0,81.0,82,0
1999-05-12 00:00:00,38,3.0,7.0,10.0,37.0,57.0,86.0,49,0
1999-05-15 00:00:00,39,7.0,33.0,54.0,72.0,73.0,90.0,24,0
1999-05-19 00:00:00,40,10.0,23.0,35.0,64.0,74.0,90.0,52,0
1999-05-22 00:00:00,41,3.0,28.0,38.0,43.0,73.0,75.0,1,0
1999-05-26 00:00:00,42,3.0,4.0,13.0,16.0,59.0,70.0,22,0
1999-05-29 00:00:00,43,10.0,34.0,44.0,49.0,62.0,79.0,47,0
1999-06-02 00:00:00,44,2.0,16.0,17.0,65.0,69.0,72.0,60,0
1999-06-05 00:00:00,45,9.0,36.0,52.0,76.0,77.0,90.0,54,0
1999-06-09 00:00:00,46,16.0,32.0,35.0,45.0,72.0,77.0,6,0
1999-06-12 00:00:00,47,32.0,35.0,57.0,74.0,79.0,84.0,70,0
1999-06-16 00:00:00,48,5.0,20.0,29.0,41.0,56.0,86.0,81,0
1999-06-19 00:00:00,49,13.0,23.0,31.0,58.0,67.0,68.0,22,0
1999-06-23 00:00:00,50,31.0,36.0,37.0,71.0,86.0,90.0,13,0
1999-06-26 00:00:00,51,8.0,19.0,23.0,37.0,65.0,77.0,48,0
1999-06-30 00:00:00,52,13.0,22.0,44.0,74.0,77.0,87.0,76,0
1999-07-03 00:00:00,53,3.0,6.0,7.0,53.0,65.0,90.0,14,0
1999-07-07 00:00:00,54,38.0,46.0,63.0,82.0,83.0,87.0,1,0
1999-07-10 00:00:00,55,1.0,4.0,42.0,67.0,75.0,77.0,31,0
1999-07-14 00:00:00,56,4.0,48.0,60.0,63.0,84.0,88.0,62,0
1999-07-17 00:00:00,57,5.0,22.0,35.0,38.0,74.0,82.0,36,0
1999-07-21 00:00:00,58,11.0,19.0,26.0,58.0,67.0,89.0,1,0
1999-07-24 00:00:00,59,13.0,16.0,23.0,52.0,67.0,78.0,76,0
1999-07-28 00:00:00,60,13.0,64.0,68.0,84.0,89.0,90.0,85,0
1999-07-31 00:00:00,61,5.0,34.0,44.0,73.0,77.0,83.0,65,0
1999-08-04 00:00:00,62,12.0,23.0,46.0,54.0,78.0,90.0,85,0
1999-08-07 00:00:00,63,4.0,16.0,29.0,58.0,69.0,88.0,54,0
1999-08-11 00:00:00,64,10.0,19.0,24.0,29.0,42.0,67.0,39,0
1999-08-14 00:00:00,65,45.0,64.0,73.0,80.0,81.0,85.0,11,0
1999-08-18 00:00:00,66,13.0,16.0,51.0,56.0,65.0,67.0,35,0
1999-08-21 00:00:00,67,1.0,32.0,37.0,63.0,67.0,69.0,90,0
1999-08-25 00:00:00,68,1.0,25.0,28.0,39.0,51.0,89.0,62,0
1999-08-28 00:00:00,69,7.0,12.0,14.0,16.0,24.0,45.0,54,0
1999-09-01 00:00:00,70,5.0,19.0,26.0,32.0,67.0,87.0,65,0
1999-09-04 00:00:00,71,38.0,40.0,41.0,69.0,76.0,81.0,78,0
1999-09-08 00:00:00,72,15.0,38.0,48.0,74.0,75.0,80.0,81,0
1999-09-11 00:00:00,73,25.0,40.0,57.0,59.0,76.0,82.0,55,0
1999-09-15 00:00:00,74,17.0,20.0,27.0,29.0,72.0,73.0,85,0
1999-09-18 00:00:00,75,12.0,15.0,33.0,60.0,79.0,88.0,8,0
1999-09-22 00:00:00,76,1.0,11.0,40.0,50.0,53.0,80.0,68,0
1999-09-25 00:00:00,77,6.0,27.0,37.0,38.0,47.0,79.0,23,0
1999-09-29 00:00:00,78,4.0,16.0,27.0,55.0,67.0,72.0,3,0
1999-10-02 00:00:00,79,6.0,10.0,38.0,48.0,49.0,65.0,61,0
1999-10-06 00:00:00,80,38.0,58.0,61.0,64.0,82.0,87.0,68,0
1999-10-09 00:00:00,81,12.0,35.0,40.0,59.0,78.0,80.0,44,0
1999-10-13 00:00:00,82,6.0,24.0,30.0,34.0,37.0,71.0,82,0
1999-10-16 00:00:00,83,3.0,35.0,45.0,47.0,54.0,70.0,30,0
1999-10-20 00:00:00,84,22.0,26.0,58.0,60.0,67.0,88.0,49,0
1999-10-23 00:00:00,85,24.0,46.0,57.0,73.0,79.0,81.0,77,0
1999-10-27 00:00:00,86,6.0,25.0,34.0,72.0,76.0,82.0,12,0
1999-10-30 00:00:00,87,16.0,21.0,29.0,39.0,70.0,90.0,76,0
1999-11-03 00:00:00,88,19.0,42.0,64.0,68.0,72.0,86.0,45,0
1999-11-06 00:00:00,89,6.0,7.0,37.0,67.0,80.0,87.0,22,0
1999-11-10 00:00:00,90,21.0,45.0,55.0,61.0,73.0,80.0,77,0
1999-11-13 00:00:00,91,3.0,23.0,61.0,82.0,83.0,88.0,64,0
1999-11-17 00:00:00,92,6.0,51.0,73.0,78.0,80.0,81.0,34,0
1999-11-20 00:00:00,93,20.0,31.0,45.0,62.0,76.0,81.0,51,0
1999-11-24 00:00:00,94,12.0,16.0,24.0,48.0,53.0,58.0,85,0
1999-11-27 00:00:00,95,14.0,20.0,57.0,79.0,85.0,88.0,69,0
1999-12-01 00:00:00,96,1.0,13.0,24.0,39.0,44.0,45.0,83,0
1999-12-04 00:00:00,97,13.0,39.0,62.0,63.0,66.0,76.0,11,0
1999-12-09 00:00:00,98,20.0,32.0,37.0,44.0,75.0,88.0,72,0
1999-12-11 00:00:00,99,6.0,27.0,50.0,57.0,77.0,80.0,22,0
1999-12-15 00:00:00,100,18.0,21.0,28.0,35.0,41.0,85.0,66,0
1999-12-18 00:00:00,101,13.0,42.0,57.0,61.0,63.0,82.0,45,0
1999-12-22 00:00:00,102,6.0,9.0,32.0,47.0,59.0,60.0,83,0
1999-12-27 00:00:00,103,20.0,21.0,63.0,71.0,75.0,79.0,15,0
1999-12-29 00:00:00,104,14.0,15.0,20.0,42.0,70.0,88.0,28,0
data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
2024-01-02 00:00:00,1,2.0,9.0,16.0,35.0,46.0,63.0,49,5
2024-01-04 00:00:00,2,7.0,9.0,29.0,51.0,60.0,70.0,59,41
2024-01-08 00:00:00,3,20.0,28.0,42.0,48.0,51.0,62.0,72,47
2024-01-09 00:00:00,4,10.0,19.0,23.0,39.0,40.0,83.0,73,13
2024-01-11 00:00:00,5,45.0,56.0,59.0,69.0,73.0,77.0,7,81
2024-01-12 00:00:00,6,11.0,23.0,25.0,72.0,78.0,84.0,20,40
2024-01-13 00:00:00,7,4.0,43.0,45.0,55.0,56.0,60.0,5,55
2024-01-16 00:00:00,8,21.0,39.0,51.0,59.0,68.0,86.0,63,48
2024-01-18 00:00:00,9,14.0,26.0,36.0,60.0,62.0,84.0,73,68
2024-01-19 00:00:00,10,21.0,22.0,28.0,50.0,55.0,68.0,38,35
2024-01-20 00:00:00,11,2.0,19.0,56.0,58.0,63.0,71.0,22,14
2024-01-23 00:00:00,12,11.0,15.0,16.0,42.0,48.0,52.0,1,16
2024-01-25 00:00:00,13,27.0,29.0,30.0,53.0,54.0,86.0,34,57
2024-01-26 00:00:00,14,24.0,32.0,36.0,47.0,50.0,78.0,62,72
2024-01-27 00:00:00,15,17.0,33.0,38.0,43.0,49.0,80.0,69,30
2024-01-30 00:00:00,16,5.0,10.0,76.0,82.0,83.0,89.0,25,49
2024-02-01 00:00:00,17,3.0,44.0,74.0,81.0,87.0,89.0,85,66
2024-02-02 00:00:00,18,2.0,35.0,38.0,44.0,68.0,83.0,50,73
2024-02-03 00:00:00,19,6.0,10.0,12.0,34.0,66.0,77.0,19,58
2024-02-06 00:00:00,20,26.0,34.0,39.0,46.0,54.0,89.0,13,11
2024-02-08 00:00:00,21,2.0,4.0,24.0,62.0,73.0,75.0,1,49
2024-02-09 00:00:00,22,6.0,22.0,29.0,42.0,48.0,66.0,56,81
2024-02-10 00:00:00,23,43.0,62.0,72.0,73.0,85.0,86.0,58,17
2024-02-13 00:00:00,24,27.0,34.0,37.0,42.0,53.0,76.0,60,55
2024-02-15 00:00:00,25,34.0,38.0,61.0,71.0,74.0,83.0,80,79
2024-02-16 00:00:00,26,20.0,30.0,37.0,83.0,88.0,89.0,77,66
