Data,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar
1999-01-02,10,12,54,58,72,88,23,0
1999-01-07,34,43,44,45,53,58,64,0
1999-01-09,1,6,13,23,53,77,20,0
1999-01-13,18,23,45,51,61,86,29,0
1999-01-16,7,9,12,37,86,90,87,0
1999-01-20,1,43,45,48,51,56,18,0
1999-01-23,36,45,46,47,74,75,69,0
1999-01-27,8,48,65,72,83,88,67,0
1999-01-30,14,20,40,58,68,84,88,0
1999-02-03,45,67,70,80,81,89,3,0
1999-02-06,9,10,26,30,44,54,62,0
1999-02-10,4,8,12,17,19,80,84,0
1999-02-13,12,20,23,34,67,87,46,0
1999-02-17,24,45,49,63,78,83,4,0
1999-02-20,4,26,59,63,69,74,86,0
1999-02-24,17,19,32,41,52,87,23,0
1999-02-27,6,7,42,55,75,88,67,0
1999-03-03,40,41,51,62,66,80,77,0
1999-03-06,27,41,44,50,68,73,21,0
1999-03-10,11,20,56,69,72,76,32,0
1999-03-13,6,18,20,34,72,90,17,0
1999-03-17,3,7,14,45,68,70,39,0
1999-03-20,43,71,80,84,88,89,73,0
1999-03-24,4,26,34,61,76,81,67,0
1999-03-27,7,18,27,80,81,83,87,0
1999-03-31,25,60,64,71,75,85,18,0
1999-04-03,33,41,47,48,60,80,17,0
1999-04-07,13,27,40,46,70,84,28,0
1999-04-10,4,11,14,17,25,32,61,0
1999-04-14,34,63,70,77,83,90,43,0
1999-04-17,4,6,25,32,73,83,64,0
1999-04-21,20,53,55,61,64,74,46,0
1999-04-24,20,22,33,44,50,74,60,0
1999-04-28,1,51,53,55,73,86,41,0
1999-05-03,8,49,50,65,66,69,75,0
1999-05-05,3,10,28,71,81,88,84,0
1999-05-08,11,14,15,30,68,81,82,0
1999-05-12,3,7,10,37,57,86,49,0
1999-05-15,7,33,54,72,73,90,24,0
1999-05-19,10,23,35,64,74,90,52,0
1999-05-22,3,28,38,43,73,75,1,0
1999-05-26,3,4,13,16,59,70,22,0
1999-05-29,10,34,44,49,62,79,47,0
1999-06-02,2,16,17,65,69,72,60,0
1999-06-05,9,36,52,76,77,90,54,0
1999-06-09,16,32,35,45,72,77,6,0
1999-06-12,32,35,57,74,79,84,70,0
1999-06-16,5,20,29,41,56,86,81,0
1999-06-19,13,23,31,58,67,68,22,0
1999-06-23,31,36,37,71,86,90,13,0
1999-06-26,8,19,23,37,65,77,48,0
1999-06-30,13,22,44,74,77,87,76,0
