,count
6,326
1,302
85,301
86,297
77,292
55,291
79,291
81,289
83,289
4,288
49,288
68,286
52,284
80,283
45,283
3,283
82,282
66,280
90,278
41,278
39,278
75,276
65,276
19,275
43,275
51,275
87,275
88,274
62,273
63,273
72,273
32,271
5,271
38,270
25,269
47,269
56,268
48,268
40,267
21,267
54,267
37,267
71,266
84,265
22,265
42,264
89,264
17,264
2,264
74,263
15,263
33,262
61,260
35,259
11,259
8,257
20,257
57,256
16,256
34,256
76,256
73,255
69,255
14,254
58,253
78,252
26,252
67,251
46,250
64,250
10,250
28,249
23,249
13,249
27,247
29,247
70,247
30,246
12,245
9,245
31,245
44,244
59,244
7,242
53,239
24,239
60,234
50,232
36,232
18,229
