Data,Concorso,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar,Ritardo_Num1,Ritardo_Num2,Ritardo_Num3,Ritardo_Num4,Ritardo_Num5,Ritardo_Num6
,,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,,1,0,0,0,0,0
1999-01-02,1,10.0,12.0,54.0,58.0,72.0,88.0,23,0,2,2,2,2,2,2
1999-01-07,2,34.0,43.0,44.0,45.0,53.0,58.0,64,0,3,3,3,3,3,1
1999-01-09,3,1.0,6.0,13.0,23.0,53.0,77.0,20,0,4,4,4,4,1,4
1999-01-13,4,18.0,23.0,45.0,51.0,61.0,86.0,29,0,5,1,2,5,5,5
1999-01-16,5,7.0,9.0,12.0,37.0,86.0,90.0,87,0,6,6,4,6,1,6
1999-01-20,6,1.0,43.0,45.0,48.0,51.0,56.0,18,0,3,4,2,7,2,7
1999-01-23,7,36.0,45.0,46.0,47.0,74.0,75.0,69,0,8,1,8,8,8,8
1999-01-27,8,8.0,48.0,65.0,72.0,83.0,88.0,67,0,9,2,9,7,9,7
1999-01-30,9,14.0,20.0,40.0,58.0,68.0,84.0,88,0,10,10,10,7,10,10
1999-02-03,10,45.0,67.0,70.0,80.0,81.0,89.0,3,0,3,11,11,11,11,11
1999-02-06,11,9.0,10.0,26.0,30.0,44.0,54.0,62,0,6,10,12,12,9,10
1999-02-10,12,4.0,8.0,12.0,17.0,19.0,80.0,84,0,13,4,7,13,13,2
1999-02-13,13,12.0,20.0,23.0,34.0,67.0,87.0,46,0,1,4,9,11,3,14
1999-02-17,14,24.0,45.0,49.0,63.0,78.0,83.0,4,0,15,4,15,15,15,6
1999-02-20,15,4.0,26.0,59.0,63.0,69.0,74.0,86,0,3,4,16,1,16,8
1999-02-24,16,17.0,19.0,32.0,41.0,52.0,87.0,23,0,4,4,17,17,17,3
1999-02-27,17,6.0,7.0,42.0,55.0,75.0,88.0,67,0,14,12,18,18,10,9
1999-03-03,18,40.0,41.0,51.0,62.0,66.0,80.0,77,0,9,2,12,19,19,6
1999-03-06,19,27.0,41.0,44.0,50.0,68.0,73.0,21,0,20,1,8,20,10,20
1999-03-10,20,11.0,20.0,56.0,69.0,72.0,76.0,32,0,21,7,14,5,12,21
1999-03-13,21,6.0,18.0,20.0,34.0,72.0,90.0,17,0,4,17,1,8,1,16
1999-03-17,22,3.0,7.0,14.0,45.0,68.0,70.0,39,0,23,5,13,8,3,12
1999-03-20,23,43.0,71.0,80.0,84.0,88.0,89.0,73,0,17,24,5,14,6,13
1999-03-24,24,4.0,26.0,34.0,61.0,76.0,81.0,67,0,9,9,3,20,4,14
1999-03-27,25,7.0,18.0,27.0,80.0,81.0,83.0,87,0,3,4,6,2,1,11
1999-03-31,26,25.0,60.0,64.0,71.0,75.0,85.0,18,0,27,27,27,3,9,27
1999-04-03,27,33.0,41.0,47.0,48.0,60.0,80.0,17,0,28,8,20,19,1,2
1999-04-07,28,13.0,27.0,40.0,46.0,70.0,84.0,28,0,25,3,10,21,6,5
1999-04-10,29,4.0,11.0,14.0,17.0,25.0,32.0,61,0,5,9,7,13,3,13
1999-04-14,30,34.0,63.0,70.0,77.0,83.0,90.0,43,0,6,15,2,27,5,9
1999-04-17,31,4.0,6.0,25.0,32.0,73.0,83.0,64,0,2,10,2,2,12,1
1999-04-21,32,20.0,53.0,55.0,61.0,64.0,74.0,46,0,11,29,15,8,6,17
1999-04-24,33,20.0,22.0,33.0,44.0,50.0,74.0,60,0,1,34,6,14,14,1
1999-04-28,34,1.0,51.0,53.0,55.0,73.0,86.0,41,0,28,16,2,2,3,29
1999-05-03,35,8.0,49.0,50.0,65.0,66.0,69.0,75,0,23,21,2,27,17,15
1999-05-05,36,3.0,10.0,28.0,71.0,81.0,88.0,84,0,14,25,37,10,11,13
1999-05-08,37,11.0,14.0,15.0,30.0,68.0,81.0,82,0,8,8,38,26,15,1
1999-05-12,38,3.0,7.0,10.0,37.0,57.0,86.0,49,0,2,13,2,33,39,4
1999-05-15,39,7.0,33.0,54.0,72.0,73.0,90.0,24,0,1,6,28,18,5,9
1999-05-19,40,10.0,23.0,35.0,64.0,74.0,90.0,52,0,2,27,41,8,7,1
1999-05-22,41,3.0,28.0,38.0,43.0,73.0,75.0,1,0,3,5,42,18,2,15
1999-05-26,42,3.0,4.0,13.0,16.0,59.0,70.0,22,0,1,11,14,43,27,12
1999-05-29,43,10.0,34.0,44.0,49.0,62.0,79.0,47,0,3,13,10,8,25,44
1999-06-02,44,2.0,16.0,17.0,65.0,69.0,72.0,60,0,45,2,15,9,9,5
1999-06-05,45,9.0,36.0,52.0,76.0,77.0,90.0,54,0,34,38,29,21,15,5
1999-06-09,46,16.0,32.0,35.0,45.0,72.0,77.0,6,0,2,15,6,24,2,1
1999-06-12,47,32.0,35.0,57.0,74.0,79.0,84.0,70,0,1,1,9,7,4,19
1999-06-16,48,5.0,20.0,29.0,41.0,56.0,86.0,81,0,49,15,49,21,28,10
1999-06-19,49,13.0,23.0,31.0,58.0,67.0,68.0,22,0,7,9,50,40,36,12
1999-06-23,50,31.0,36.0,37.0,71.0,86.0,90.0,13,0,1,5,12,14,2,5
1999-06-26,51,8.0,19.0,23.0,37.0,65.0,77.0,48,0,16,35,2,1,7,5
1999-06-30,52,13.0,22.0,44.0,74.0,77.0,87.0,76,0,3,19,9,5,1,36
1999-07-03,53,3.0,6.0,7.0,53.0,65.0,90.0,14,0,11,22,14,19,2,3
1999-07-07,54,38.0,46.0,63.0,82.0,83.0,87.0,1,0,13,26,24,55,23,2
1999-07-10,55,1.0,4.0,42.0,67.0,75.0,77.0,31,0,21,13,38,6,14,3
1999-07-14,56,4.0,48.0,60.0,63.0,84.0,88.0,62,0,1,29,29,2,9,20
1999-07-17,57,5.0,22.0,35.0,38.0,74.0,82.0,36,0,9,5,10,3,5,3
1999-07-21,58,11.0,19.0,26.0,58.0,67.0,89.0,1,0,21,7,34,9,3,35
1999-07-24,59,13.0,16.0,23.0,52.0,67.0,78.0,76,0,7,13,8,14,1,45
1999-07-28,60,13.0,64.0,68.0,84.0,89.0,90.0,85,0,1,20,11,4,2,7
1999-07-31,61,5.0,34.0,44.0,73.0,77.0,83.0,65,0,4,18,9,20,6,7
1999-08-04,62,12.0,23.0,46.0,54.0,78.0,90.0,85,0,49,3,8,23,3,2
1999-08-07,63,4.0,16.0,29.0,58.0,69.0,88.0,54,0,7,4,15,5,19,7
1999-08-11,64,10.0,19.0,24.0,29.0,42.0,67.0,39,0,21,6,50,1,9,5
1999-08-14,65,45.0,64.0,73.0,80.0,81.0,85.0,11,0,19,5,4,38,28,39
1999-08-18,66,13.0,16.0,51.0,56.0,65.0,67.0,35,0,6,3,32,18,13,2
1999-08-21,67,1.0,32.0,37.0,63.0,67.0,69.0,90,0,12,20,16,11,1,4
1999-08-25,68,1.0,25.0,28.0,39.0,51.0,89.0,62,0,1,37,27,69,2,8
1999-08-28,69,7.0,12.0,14.0,16.0,24.0,45.0,54,0,16,7,32,3,5,4
1999-09-01,70,5.0,19.0,26.0,32.0,67.0,87.0,65,0,9,6,12,3,3,16
1999-09-04,71,38.0,40.0,41.0,69.0,76.0,81.0,78,0,14,43,23,4,26,6
1999-09-08,72,15.0,38.0,48.0,74.0,75.0,80.0,81,0,35,1,16,15,17,7
1999-09-11,73,25.0,40.0,57.0,59.0,76.0,82.0,55,0,5,2,26,31,2,16
1999-09-15,74,17.0,20.0,27.0,29.0,72.0,73.0,85,0,30,26,46,10,28,9
1999-09-18,75,12.0,15.0,33.0,60.0,79.0,88.0,8,0,6,3,36,19,28,12
1999-09-22,76,1.0,11.0,40.0,50.0,53.0,80.0,68,0,8,18,3,41,23,4
1999-09-25,77,6.0,27.0,37.0,38.0,47.0,79.0,23,0,24,3,10,5,50,2
1999-09-29,78,4.0,16.0,27.0,55.0,67.0,72.0,3,0,15,9,1,44,8,4
1999-10-02,79,6.0,10.0,38.0,48.0,49.0,65.0,61,0,2,15,2,7,36,13
1999-10-06,80,38.0,58.0,61.0,64.0,82.0,87.0,68,0,1,17,48,15,7,10
1999-10-09,81,12.0,35.0,40.0,59.0,78.0,80.0,44,0,6,24,5,8,19,5
1999-10-13,82,6.0,24.0,30.0,34.0,37.0,71.0,82,0,3,13,45,21,5,32
1999-10-16,83,3.0,35.0,45.0,47.0,54.0,70.0,30,0,30,2,14,6,21,41
1999-10-20,84,22.0,26.0,58.0,60.0,67.0,88.0,49,0,27,14,4,9,6,9
1999-10-23,85,24.0,46.0,57.0,73.0,79.0,81.0,77,0,3,23,12,11,8,14
1999-10-27,86,6.0,25.0,34.0,72.0,76.0,82.0,12,0,4,13,4,8,13,6
1999-10-30,87,16.0,21.0,29.0,39.0,70.0,90.0,76,0,9,88,13,19,4,25
1999-11-03,88,19.0,42.0,64.0,68.0,72.0,86.0,45,0,18,24,8,28,2,38
1999-11-06,89,6.0,7.0,37.0,67.0,80.0,87.0,22,0,3,20,7,5,8,9
1999-11-10,90,21.0,45.0,55.0,61.0,73.0,80.0,77,0,3,7,12,10,5,1
