Data,Concorso,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar,Ritardo_Num1,Ritardo_Num2,Ritardo_Num3,Ritardo_Num4,Ritardo_Num5,Ritardo_Num6,Freq_Media_10_Num1,Freq_Media_10_Num2,Freq_Media_10_Num3,Freq_Media_10_Num4,Freq_Media_10_Num5,Freq_Media_10_Num6,Ritardo_Num1,Ritardo_Num2,Ritardo_Num3,Ritardo_Num4,Ritardo_Num5,Ritardo_Num6,Num_Piu_Frequente_50_Num1,Num_Piu_Frequente_50_Num2,Num_Piu_Frequente_50_Num3,Num_Piu_Frequente_50_Num4,Num_Piu_Frequente_50_Num5,Num_Piu_Frequente_50_Num6
1997-12-03,1,20,36,39,41,72,76,88,0,46,92,14,29,12,20,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,3,35,6,20,15,9,20.0,36.0,39.0,41.0,72.0,76.0
1997-12-06,2,2,4,25,29,30,52,24,0,4,4,17,16,13,32,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,2,3,12,12,5,24,2.0,4.0,25.0,29.0,30.0,52.0
1997-12-10,3,1,2,14,23,78,88,40,0,5,1,31,17,28,30,0.03296703296703297,0.03296703296703297,0.03296703296703297,0.03296703296703297,0.03296703296703297,0.03296703296703297,16,31,3,6,18,4,1.0,2.0,14.0,23.0,30.0,52.0
1997-12-13,4,5,22,34,61,62,77,58,0,6,32,16,23,52,72,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.04395604395604396,14,2,7,3,17,13,1.0,2.0,14.0,23.0,30.0,52.0
1997-12-17,5,10,65,77,80,81,86,89,0,38,23,1,52,19,25,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,2,4,17,6,57,27,1.0,2.0,14.0,23.0,30.0,52.0
1997-12-20,6,3,27,48,58,78,90,45,0,8,45,32,18,3,66,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.06593406593406594,41,1,3,8,5,5,1.0,2.0,14.0,23.0,78.0,52.0
1997-12-24,7,13,59,63,75,85,87,52,0,31,43,42,26,74,23,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,5,2,16,3,24,31,1.0,2.0,14.0,23.0,78.0,52.0
1997-12-27,8,8,26,35,43,55,67,69,0,25,52,36,33,29,50,0.08791208791208792,0.08791208791208792,0.08791208791208792,0.08791208791208792,0.08791208791208792,0.08791208791208792,37,6,12,17,1,3,1.0,2.0,14.0,23.0,78.0,52.0
1997-12-31,9,34,36,71,76,86,89,82,0,5,8,41,8,4,72,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.0989010989010989,0.0989010989010989,2,14,9,17,35,22,1.0,36.0,14.0,23.0,78.0,52.0
1998-01-03,1,2,29,36,72,82,90,71,0,3,15,59,15,32,14,0.10989010989010989,0.10989010989010989,0.10989010989010989,0.10989010989010989,0.10989010989010989,0.10989010989010989,5,2,7,1294,10,1,2.0,36.0,14.0,23.0,78.0,90.0
